file,class,code,start_pos,end_pos,duration_s,ttf_start_h,ttf_end_h
E02_12,E02,E003,126134,126252,119,133.12944444444443,133.09666666666666
E02_12,E02,E003,126254,126257,4,133.0961111111111,133.09527777777777
E02_12,E02,E003,126259,126270,12,133.09472222222223,133.09166666666667
E02_12,E02,E003,126272,126275,4,133.0911111111111,133.09027777777777
E02_12,E02,E003,126277,126426,150,133.08972222222224,133.04833333333335
E02_12,E02,E003,126428,126431,4,133.04777777777778,133.04694444444445
E02_12,E02,E003,126433,126436,4,133.04638888888888,133.04555555555555
E02_12,E02,E003,126438,126441,4,133.045,133.04416666666665
E02_12,E02,E003,126447,126447,1,133.0425,133.0425
E02_12,E02,E003,126452,126452,1,133.04111111111112,133.04111111111112
E02_12,E02,E003,126454,126458,5,133.04055555555556,133.03944444444446
E02_12,E02,E003,126460,126467,8,133.0388888888889,133.03694444444446
E02_12,E02,E003,126472,126472,1,133.03555555555556,133.03555555555556
E02_12,E02,E003,126474,126477,4,133.035,133.03416666666666
E02_12,E02,E003,126479,126483,5,133.0336111111111,133.0325
E02_12,E02,E003,126485,126492,8,133.03194444444443,133.03
E02_12,E02,E003,126497,126497,1,133.0286111111111,133.0286111111111
E02_12,E02,E003,126499,126503,5,133.02805555555557,133.02694444444444
E02_12,E02,E003,126505,126520,16,133.0263888888889,133.0222222222222
E02_12,E02,E003,126526,126526,1,133.02055555555555,133.02055555555555
E02_12,E02,E003,126531,126531,1,133.01916666666668,133.01916666666668
E02_12,E02,E003,126548,126548,1,133.01444444444445,133.01444444444445
E02_12,E02,E003,126553,126553,1,133.01305555555555,133.01305555555555
E02_12,E02,E003,126559,126559,1,133.0113888888889,133.0113888888889
E02_12,E02,E003,126564,126564,1,133.01,133.01
E02_12,E02,E003,126583,126583,1,133.00472222222223,133.00472222222223
E02_12,E02,E003,126589,126589,1,133.00305555555556,133.00305555555556
E02_12,E02,E003,126594,126594,1,133.00166666666667,133.00166666666667
E02_12,E02,E003,126659,126659,1,132.98361111111112,132.98361111111112
E02_12,E02,E003,126857,127369,513,132.9286111111111,132.7863888888889
E02_12,E02,E003,127399,127399,1,132.77805555555557,132.77805555555557
E02_12,E02,E011,127801,128244,444,132.6663888888889,132.54333333333332
E02_12,E02,E003,128245,128460,216,132.54305555555555,132.48333333333332
E02_12,E02,E011,128461,128496,36,132.48305555555555,132.47333333333333
E02_12,E02,E003,128497,128500,4,132.47305555555556,132.47222222222223
E02_12,E02,E011,128501,128545,45,132.47194444444443,132.4597222222222
E02_12,E02,E003,128546,128546,1,132.45944444444444,132.45944444444444
E02_12,E02,E011,128547,128606,60,132.45916666666668,132.4427777777778
E02_12,E02,E003,128607,129185,579,132.4425,132.28194444444443
E02_12,E02,E011,129186,129276,91,132.28166666666667,132.25666666666666
E02_12,E02,E003,129277,129277,1,132.2563888888889,132.2563888888889
E02_12,E02,E011,129278,129688,411,132.25611111111112,132.14222222222222
E02_12,E02,E003,129689,129856,168,132.14194444444445,132.09555555555556
E02_12,E02,E011,129857,130439,583,132.09527777777777,131.9336111111111
E02_12,E02,E003,130440,130905,466,131.93333333333334,131.80416666666667
E02_12,E02,E011,130906,131530,625,131.80388888888888,131.63055555555556
E02_12,E02,E003,131531,131589,59,131.6302777777778,131.61416666666668
E02_12,E02,E011,131590,131681,92,131.61388888888888,131.5886111111111
E02_12,E02,E003,131682,131682,1,131.58833333333334,131.58833333333334
E02_12,E02,E011,131683,132162,480,131.58805555555554,131.455
E02_12,E02,E003,132163,132163,1,131.45472222222222,131.45472222222222
E02_12,E02,E011,132164,132868,705,131.45444444444445,131.2588888888889
E02_12,E02,E003,132869,132892,24,131.25861111111112,131.25222222222223
E02_12,E02,E011,132893,132929,37,131.25194444444443,131.24194444444444
E02_12,E02,E003,132930,132932,3,131.24166666666667,131.2411111111111
E02_12,E02,E011,132933,132959,27,131.24083333333334,131.23361111111112
E02_12,E02,E003,132960,132962,3,131.23333333333332,131.23277777777778
E02_12,E02,E011,132963,133220,258,131.2325,131.1611111111111
E02_12,E02,E003,133221,133539,319,131.16083333333333,131.0725
E02_12,E02,E011,133540,133540,1,131.07222222222222,131.07222222222222
E02_12,E02,E003,133541,134069,529,131.07194444444445,130.92527777777778
E02_12,E02,E011,134070,134111,42,130.925,130.91361111111112
E02_12,E02,E003,134112,135161,1050,130.91333333333333,130.62194444444444
E02_12,E02,E011,135162,135329,168,130.62166666666667,130.57527777777779
E02_12,E02,E003,135330,135330,1,130.575,130.575
E02_12,E02,E011,135331,135403,73,130.57472222222222,130.5547222222222
E02_12,E02,E003,135404,135404,1,130.55444444444444,130.55444444444444
E02_12,E02,E011,135405,135410,6,130.55416666666667,130.55277777777778
E02_12,E02,E003,135411,135411,1,130.5525,130.5525
E02_12,E02,E011,135412,135444,33,130.5522222222222,130.54333333333332
E02_12,E02,E003,135445,135445,1,130.54305555555555,130.54305555555555
E02_12,E02,E011,135446,135451,6,130.5427777777778,130.5413888888889
E02_12,E02,E003,135452,135553,102,130.54111111111112,130.51305555555555
E02_12,E02,E011,135554,135554,1,130.51277777777779,130.51277777777779
E02_12,E02,E003,135555,135830,276,130.5125,130.4361111111111
E02_12,E02,E003,135913,136105,193,130.41305555555556,130.35972222222222
E02_12,E02,E003,136114,136151,38,130.35722222222222,130.34694444444443
E02_12,E02,E011,212497,212549,53,109.13972222222222,109.12527777777778
E02_12,E02,E011,212551,212655,105,109.12472222222222,109.09583333333333
E02_12,E02,E011,212657,212661,5,109.09527777777778,109.09416666666667
E02_12,E02,E011,212663,212674,12,109.09361111111112,109.09055555555555
E02_12,E02,E011,212676,212679,4,109.09,109.08916666666667
E02_12,E02,E011,212681,212799,119,109.0886111111111,109.05583333333334
E02_12,E02,E011,212830,212833,4,109.04722222222222,109.04638888888888
E02_12,E02,E011,212835,212839,5,109.04583333333333,109.04472222222222
E02_12,E02,E011,212841,212854,14,109.04416666666667,109.04055555555556
E02_12,E02,E011,212856,212858,3,109.04,109.03944444444444
E02_12,E02,E011,212860,212864,5,109.03888888888889,109.03777777777778
E02_12,E02,E011,212866,212871,6,109.03722222222223,109.03583333333333
E02_12,E02,E011,212880,212881,2,109.03333333333333,109.03305555555555
E02_12,E02,E011,212884,212886,3,109.03222222222222,109.03166666666667
E02_12,E02,E011,212888,212901,14,109.03111111111112,109.0275
E02_12,E02,E011,212903,212907,5,109.02694444444444,109.02583333333334
E02_12,E02,E011,212909,213010,102,109.02527777777777,108.99722222222222
E02_12,E02,E011,213016,213016,1,108.99555555555555,108.99555555555555
E02_12,E02,E011,213042,213122,81,108.98833333333333,108.9661111111111
E02_12,E02,E011,213124,213565,442,108.96555555555555,108.84305555555555
E02_12,E02,E011,213567,222689,9123,108.8425,106.3086111111111
E02_12,E02,E003,291767,292314,548,87.12027777777777,86.96833333333333
E02_12,E02,E003,292316,292431,116,86.96777777777778,86.93583333333333
E02_12,E02,E003,292470,292470,1,86.925,86.925
E02_12,E02,E003,292735,292735,1,86.85138888888889,86.85138888888889
E02_12,E02,E003,292758,292758,1,86.845,86.845
E02_12,E02,E003,292949,292949,1,86.79194444444444,86.79194444444444
E02_12,E02,E003,293106,293668,563,86.74833333333333,86.59222222222222
E02_12,E02,E011,293669,293672,4,86.59194444444445,86.5911111111111
E02_12,E02,E003,293673,293673,1,86.59083333333334,86.59083333333334
E02_12,E02,E011,293674,293674,1,86.59055555555555,86.59055555555555
E02_12,E02,E003,293675,294001,327,86.59027777777777,86.49972222222222
E02_12,E02,E011,294002,295126,1125,86.49944444444445,86.18722222222222
E02_12,E02,E003,295127,295872,746,86.18694444444445,85.98
E02_12,E02,E011,295873,295873,1,85.97972222222222,85.97972222222222
E02_12,E02,E003,295874,296410,537,85.97944444444444,85.83055555555555
E02_12,E02,E011,296411,297570,1160,85.83027777777778,85.50833333333334
E02_12,E02,E003,297571,298089,519,85.50805555555556,85.36416666666666
E02_12,E02,E011,298090,299059,970,85.3638888888889,85.09472222222222
E02_12,E02,E003,299060,299064,5,85.09444444444445,85.09333333333333
E02_12,E02,E011,299065,299065,1,85.09305555555555,85.09305555555555
E02_12,E02,E003,299066,299077,12,85.09277777777778,85.08972222222222
E02_12,E02,E011,299078,299078,1,85.08944444444444,85.08944444444444
E02_12,E02,E003,299079,299083,5,85.08916666666667,85.08805555555556
E02_12,E02,E011,299084,299084,1,85.08777777777777,85.08777777777777
E02_12,E02,E003,299085,299102,18,85.0875,85.08277777777778
E02_12,E02,E011,299103,299127,25,85.0825,85.07583333333334
E02_12,E02,E003,299128,299135,8,85.07555555555555,85.0736111111111
E02_12,E02,E011,299136,299208,73,85.07333333333334,85.05333333333333
E02_12,E02,E003,299209,299209,1,85.05305555555556,85.05305555555556
E02_12,E02,E011,299210,299234,25,85.05277777777778,85.04611111111112
E02_12,E02,E003,299235,299238,4,85.04583333333333,85.045
E02_12,E02,E011,299239,299239,1,85.04472222222222,85.04472222222222
E02_12,E02,E003,299240,299244,5,85.04444444444445,85.04333333333334
E02_12,E02,E011,299245,299245,1,85.04305555555555,85.04305555555555
E02_12,E02,E003,299246,299252,7,85.04277777777777,85.0411111111111
E02_12,E02,E011,299253,299256,4,85.04083333333334,85.04
E02_12,E02,E003,299257,299257,1,85.03972222222222,85.03972222222222
E02_12,E02,E011,299258,299261,4,85.03944444444444,85.03861111111111
E02_12,E02,E003,299262,299266,5,85.03833333333333,85.03722222222223
E02_12,E02,E011,299267,299267,1,85.03694444444444,85.03694444444444
E02_12,E02,E003,299268,299272,5,85.03666666666666,85.03555555555556
E02_12,E02,E011,299273,299275,3,85.03527777777778,85.03472222222223
E02_12,E02,E003,299276,299276,1,85.03444444444445,85.03444444444445
E02_12,E02,E011,299277,299286,10,85.03416666666666,85.03166666666667
E02_12,E02,E003,299287,299291,5,85.03138888888888,85.03027777777778
E02_12,E02,E011,299292,299292,1,85.03,85.03
E02_12,E02,E003,299293,299296,4,85.02972222222222,85.02888888888889
E02_12,E02,E011,299297,299300,4,85.0286111111111,85.02777777777777
E02_12,E02,E003,299301,299301,1,85.0275,85.0275
E02_12,E02,E011,299302,299312,11,85.02722222222222,85.02444444444444
E02_12,E02,E003,299313,299324,12,85.02416666666667,85.02111111111111
E02_12,E02,E011,299325,299329,5,85.02083333333333,85.01972222222223
E02_12,E02,E003,299330,299330,1,85.01944444444445,85.01944444444445
E02_12,E02,E011,299331,299334,4,85.01916666666666,85.01833333333333
E02_12,E02,E003,299335,299335,1,85.01805555555555,85.01805555555555
E02_12,E02,E011,299336,299350,15,85.01777777777778,85.01388888888889
E02_12,E02,E003,299351,299351,1,85.01361111111112,85.01361111111112
E02_12,E02,E011,299352,299356,5,85.01333333333334,85.01222222222222
E02_12,E02,E003,299357,299357,1,85.01194444444444,85.01194444444444
E02_12,E02,E011,299358,299361,4,85.01166666666667,85.01083333333334
E02_12,E02,E003,299362,299362,1,85.01055555555556,85.01055555555556
E02_12,E02,E011,299363,299367,5,85.01027777777777,85.00916666666667
E02_12,E02,E003,299368,299368,1,85.00888888888889,85.00888888888889
E02_12,E02,E011,299369,299386,18,85.00861111111111,85.0038888888889
E02_12,E02,E003,299387,299387,1,85.00361111111111,85.00361111111111
E02_12,E02,E011,299388,299392,5,85.00333333333333,85.00222222222222
E02_12,E02,E003,299393,299393,1,85.00194444444445,85.00194444444445
E02_12,E02,E011,299394,299397,4,85.00166666666667,85.00083333333333
E02_12,E02,E003,299398,299398,1,85.00055555555555,85.00055555555555
E02_12,E02,E011,299399,299403,5,85.00027777777778,84.99916666666667
E02_12,E02,E003,299404,299404,1,84.99888888888889,84.99888888888889
E02_12,E02,E011,299405,299619,215,84.99861111111112,84.93916666666667
E02_12,E02,E003,299620,300330,711,84.93888888888888,84.74166666666666
E02_12,E02,E011,300331,300761,431,84.74138888888889,84.62194444444444
E02_12,E02,E003,300762,300909,148,84.62166666666667,84.58083333333333
E02_12,E02,E011,300910,301569,660,84.58055555555555,84.3975
E02_12,E02,E003,301570,301570,1,84.39722222222223,84.39722222222223
